                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.62586,                 1.3363,                0.76447,                 1.0902,                0.76306,                0.63043,                0.69477,                0.53423,                0.73998,                 0.6195,                0.67627,                0.48543,                 0.8556,                 1.8152,                 1.1016,                 1.2601,             0.00093359,             0.00093359,             0.00093359
                     25,                0.60549,                 1.2754,                0.72021,                 1.0799,                0.73841,                0.63499,                0.70768,                0.54687,                0.74946,                0.61839,                 0.7031,                0.49837,                 0.8429,                 1.8098,                 1.0814,                 1.2575,             0.00090026,             0.00090026,             0.00090026
                     26,                0.61106,                   1.29,                0.71383,                 1.0771,                0.77994,                0.63757,                0.73266,                0.55653,                 0.7292,                0.66288,                0.72299,                0.52079,                0.84889,                 1.8018,                 1.0438,                 1.2621,             0.00086692,             0.00086692,             0.00086692
                     27,                0.58702,                  1.262,                0.70238,                 1.0688,                0.75008,                0.60923,                0.69935,                0.53085,                0.75066,                  0.609,                0.69675,                0.49368,                0.85829,                 1.8321,                 1.1027,                 1.2737,             0.00083358,             0.00083358,             0.00083358
                     28,                0.58867,                 1.2383,                0.68234,                 1.0707,                0.73436,                0.65709,                0.70793,                0.52609,                0.72846,                 0.6532,                0.70253,                0.48509,                0.85458,                 1.7987,                 1.1139,                 1.2583,             0.00080025,             0.00080025,             0.00080025
                     29,                0.57517,                 1.2306,                0.66817,                 1.0547,                0.71542,                0.63903,                0.69365,                0.51943,                0.71555,                0.61875,                0.67997,                0.47942,                0.90389,                  2.021,                 1.1325,                  1.294,             0.00076691,             0.00076691,             0.00076691
                     30,                0.56231,                 1.1915,                0.63445,                 1.0469,                0.72148,                0.64817,                0.71007,                0.53706,                0.73407,                0.62498,                0.69761,                 0.4958,                0.87126,                 1.7841,                 1.1091,                 1.2649,             0.00073357,             0.00073357,             0.00073357
                     31,                0.54881,                 1.1708,                0.62979,                 1.0424,                0.74938,                0.66634,                0.71856,                0.54816,                0.74512,                0.65864,                0.70508,                0.50848,                0.83469,                 1.8624,                 1.0444,                 1.2662,             0.00070024,             0.00070024,             0.00070024
                     32,                0.53531,                 1.1527,                 0.6214,                 1.0328,                0.71301,                0.66617,                0.71808,                0.55279,                0.72429,                0.67096,                0.71537,                0.50923,                0.81666,                 1.8507,                 1.1171,                 1.2301,              0.0006669,              0.0006669,              0.0006669
                     33,                 0.5359,                 1.1453,                0.60644,                 1.0314,                0.75124,                0.63709,                 0.7074,                0.53691,                0.73901,                0.61878,                0.69024,                0.49998,                0.83166,                 1.8181,                 1.1333,                 1.2567,             0.00063356,             0.00063356,             0.00063356
                     34,                0.51466,                 1.0903,                0.57162,                 1.0159,                0.76989,                  0.677,                0.72751,                0.56005,                0.76264,                0.66761,                0.71204,                 0.5202,                0.81061,                 1.8126,                 1.0144,                 1.2535,             0.00060023,             0.00060023,             0.00060023
                     35,                0.51163,                 1.0691,                 0.5553,                 1.0122,                0.75509,                  0.653,                0.70886,                0.54802,                0.74574,                0.66638,                0.70934,                  0.507,                0.82424,                 1.7813,                 1.0752,                 1.2516,             0.00056689,             0.00056689,             0.00056689
                     36,                0.50759,                 1.0514,                0.54247,                 1.0106,                0.73087,                0.66349,                0.71344,                0.55196,                0.72593,                0.65812,                0.70681,                 0.5191,                0.81418,                 1.7608,                 1.0442,                 1.2441,             0.00053355,             0.00053355,             0.00053355
                     37,                 0.4985,                 1.0447,                0.53734,                  1.006,                0.73693,                0.64588,                0.69176,                0.53534,                0.72935,                 0.6387,                0.68698,                0.49739,                0.81562,                 1.8476,                 1.0891,                 1.2626,             0.00050022,             0.00050022,             0.00050022
